PassengerId,Survived
132,0.005
39,0.14
756,0.88
660,0.79
799,0.48
683,0.0
840,0.76
706,0.81
122,0.09
115,0.2
250,0.53
491,0.336
161,0.31
831,0.2
58,0.65
750,0.07659540459540459
214,0.33299999999999996
124,0.3855000000000001
47,0.6379761904761904
94,0.27
611,0.03
667,0.0
821,0.39
302,0.595
614,0.15506978070948654
142,0.81989898989899
162,0.598
508,0.56
110,0.11633333333333333
464,0.56
792,0.79
316,0.09
389,0.0519280058177117
398,0.65
169,0.5
884,0.4786190476190476
92,0.086
252,0.29583333333333334
647,0.027666666666666666
808,0.036000000000000004
593,0.03
856,0.15
836,0.82
861,0.251
758,0.6291666666666668
868,0.29
715,0.49
187,0.6379761904761904
5,0.12
740,0.02
752,0.84
455,0.09
687,0.0
120,0.35
537,0.68
573,0.92
580,0.48
805,0.02
606,0.3864999999999999
618,0.3766666666666667
569,0.48
589,0.06666666666666667
240,0.5813333333333333
347,0.35
695,0.65
271,0.75
490,0.63
854,0.83
90,0.026666666666666665
51,0.01
588,0.44
680,0.81
327,0.0
314,0.03
315,0.75
381,0.83
144,0.005
188,0.68
8,0.29
276,0.9
690,0.54
820,0.03
118,0.3225
104,0.06
710,0.7033333333333333
9,0.36
712,0.56
887,0.15266666666666667
332,0.27
11,0.84
698,0.0519280058177117
562,0.18
330,0.82
873,0.14
288,0.03
450,0.25
93,0.65
475,0.14
311,0.95
45,0.027666666666666666
55,0.57
30,0.02
160,0.035
818,0.31
625,0.38
64,0.24
254,0.8466666666666666
564,0.09
225,0.72
841,0.09433333333333334
643,0.42
809,0.32
268,0.1433333333333333
852,0.1125
832,0.96
103,0.81
615,0.12
53,0.88
771,0.01
234,0.27
210,0.55
220,0.5419523809523811
847,0.035
191,0.212
32,0.85
665,0.415
147,0.24
492,0.4478333333333333
461,0.77
511,0.39065424363218476
282,0.12
465,0.09
200,0.01
153,0.16
505,0.69
886,0.08
436,0.85
694,0.0
20,0.0
640,0.8466666666666666
526,0.07400000000000001
29,0.02
417,0.5
472,0.05
405,0.0
673,0.24
371,0.7
468,0.8
463,0.1
40,0.47
31,0.69
849,0.6975
383,0.48
875,0.3225
419,0.33299999999999996
525,0.48
502,0.36323232323232324
352,0.8
435,0.85
548,0.24999999999999997
308,0.34
716,0.245
442,0.03
423,0.45
692,0.83
728,0.08642151231121818
620,0.07933333333333333
76,0.19
629,0.09
482,0.09
230,0.23
13,0.33621428571428574
503,0.17649943438914026
427,0.58
797,0.74
837,0.0
167,0.7583333333333334
266,0.3442857142857143
289,0.76
748,0.33299999999999996
136,0.05
196,0.74
28,0.81
787,0.12083333333333332
251,0.04
102,0.02
557,0.44
842,0.8916666666666667
778,0.87
610,0.89
203,0.01
395,0.7
783,0.87
653,0.0
361,0.02
714,0.0375
46,0.09
447,0.9
157,0.07
70,0.07400000000000001
105,0.22333333333333333
790,0.71
181,0.035
78,0.09
223,0.17
22,0.5438333333333333
50,0.14
784,0.09
320,0.9
336,0.02
718,0.2667857142857143
428,0.6408333333333335
305,0.09
414,0.09
19,0.41666666666666674
100,0.78
860,0.48
571,0.24
811,0.09
125,0.81
326,0.84
834,0.11
149,0.89
549,0.74
637,0.48
135,0.0
134,0.8
38,0.105
163,0.10138888888888888
595,0.84
552,0.59
554,0.14666666666666667
759,0.13
532,0.48
628,0.72
128,0.0
301,0.15506978070948654
676,0.036000000000000004
180,0.19
725,0.64
612,0.0
218,0.71
654,0.1425
685,0.68
358,0.34
72,0.0
550,0.6
379,0.005
535,0.11
495,0.105
260,0.79
723,0.5438333333333333
531,0.89
779,0.08642151231121818
724,0.6
586,0.83
295,0.01
114,0.34
691,0.72
52,0.68
10,0.5
540,0.86
341,0.89
197,0.15506978070948654
762,0.01
99,0.7805
185,0.62
4,0.87
